[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.58.54.803 W105.33.00.769 N042.59.36.753 W105.33.06.198 RVM
                          N042.59.36.753 W105.33.06.198 N043.00.18.626 W105.33.12.632 RVM
                          N042.57.31.160 W105.46.31.343 N042.58.02.673 W105.46.34.781 RVM
                          N042.58.02.673 W105.46.34.781 N042.58.34.137 W105.46.38.973 RVM
                          N042.58.34.137 W105.46.38.973 N042.59.05.542 W105.46.43.919 RVM
                          N042.56.47.551 W106.00.06.432 N042.57.08.493 W106.00.08.790 RVM
                          N042.57.08.493 W106.00.08.790 N042.57.29.402 W106.00.11.647 RVM
                          N042.57.29.402 W106.00.11.647 N042.57.50.270 W106.00.15.003 RVM
                          N042.56.02.615 W106.13.40.786 N042.56.13.111 W106.13.42.009 RVM
                          N042.56.13.111 W106.13.42.009 N042.56.23.589 W106.13.43.482 RVM
                          N042.56.23.589 W106.13.43.482 N042.56.34.046 W106.13.45.206 RVM
                          N042.54.27.575 W106.40.49.316 N042.54.17.023 W106.40.48.011 RVM
                          N042.54.17.023 W106.40.48.011 N042.54.06.489 W106.40.46.453 RVM
                          N042.54.06.489 W106.40.46.453 N042.53.55.978 W106.40.44.642 RVM
                          N042.53.55.978 W106.40.44.642 N042.53.55.978 W106.40.44.642 RVM
                          N042.53.37.766 W106.54.22.624 N042.53.16.834 W106.54.19.961 RVM
                          N042.53.16.834 W106.54.19.961 N042.52.55.939 W106.54.16.802 RVM
                          N042.52.55.939 W106.54.16.802 N042.52.35.089 W106.54.13.145 RVM
                          N042.52.35.089 W106.54.13.145 N042.52.35.089 W106.54.13.145 RVM
                          N042.52.46.559 W107.07.56.024 N042.52.15.266 W107.07.51.937 RVM
                          N042.52.15.266 W107.07.51.937 N042.51.44.030 W107.07.47.110 RVM
                          N042.51.44.030 W107.07.47.110 N042.51.12.861 W107.07.41.543 RVM
                          N042.51.12.861 W107.07.41.543 N042.51.12.861 W107.07.41.543 RVM
                          N042.51.52.560 W107.21.28.461 N042.51.10.867 W107.21.22.839 RVM
                          N042.51.10.867 W107.21.22.839 N042.50.29.252 W107.21.16.232 RVM
                          N042.50.29.252 W107.21.16.232 N042.49.47.728 W107.21.08.641 RVM
                          N042.50.11.839 W106.00.56.326 N042.50.32.196 W106.00.49.264 RVM
                          N042.50.32.196 W106.00.49.264 N042.50.52.641 W106.00.42.687 RVM
                          N042.50.52.641 W106.00.42.687 N042.51.13.168 W106.00.36.596 RVM
                          N042.50.42.044 W106.00.45.825 N042.50.27.550 W105.59.22.234 RVM
                          N043.00.14.985 W106.53.37.979 N042.59.54.540 W106.53.44.810 RVM
                          N042.59.54.540 W106.53.44.810 N042.59.34.010 W106.53.51.150 RVM
                          N042.59.34.010 W106.53.51.150 N042.59.13.401 W106.53.56.997 RVM
                          N042.59.13.401 W106.53.56.997 N042.59.13.401 W106.53.56.997 RVM
                          N042.59.44.153 W106.53.49.393 N042.59.57.342 W106.55.08.910 RVM
                          N043.50.58.718 W106.09.28.279 N043.55.39.667 W106.07.57.160 RVM
                          N043.14.37.582 W106.20.23.529 N043.14.42.740 W106.20.51.635 RVM
                          N043.14.42.740 W106.20.51.635 N043.14.47.532 W106.21.19.863 RVM
                          N043.14.47.532 W106.21.19.863 N043.14.51.958 W106.21.48.203 RVM
                          N043.14.51.958 W106.21.48.203 N043.14.51.958 W106.21.48.203 RVM
                          N043.14.45.192 W106.21.04.900 N043.15.45.443 W106.20.45.872 RVM
                          N042.40.43.987 W106.32.21.008 N042.40.40.188 W106.32.00.283 RVM
                          N042.40.40.188 W106.32.00.283 N042.40.36.655 W106.31.39.473 RVM
                          N042.40.36.655 W106.31.39.473 N042.40.33.391 W106.31.18.582 RVM
                          N042.40.33.391 W106.31.18.582 N042.40.33.391 W106.31.18.582 RVM
                          N042.26.12.400 W106.37.25.640 N042.26.04.702 W106.36.43.711 RVM
                          N042.26.04.702 W106.36.43.711 N042.25.57.551 W106.36.01.606 RVM
