[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.47.32.807 W106.02.16.071 N042.47.35.528 W106.02.24.866 RVM
                          N042.47.55.753 W106.01.40.423 N042.47.49.276 W106.01.44.119 RVM
                          N042.47.49.276 W106.01.44.119 N042.47.43.665 W106.01.49.859 RVM
                          N042.47.43.665 W106.01.49.859 N042.47.39.261 W106.01.57.293 RVM
                          N042.47.39.261 W106.01.57.293 N042.47.36.335 W106.02.05.965 RVM
                          N042.47.36.335 W106.02.05.965 N042.47.35.065 W106.02.15.347 RVM
                          N042.47.35.065 W106.02.15.347 N042.47.35.528 W106.02.24.866 RVM
                          N042.47.55.753 W106.01.40.423 N042.47.48.743 W106.01.41.053 RVM
                          N042.47.48.743 W106.01.41.053 N042.47.41.833 W106.01.39.329 RVM
                          N042.47.41.833 W106.01.39.329 N042.47.35.446 W106.01.35.357 RVM
                          N042.47.35.446 W106.01.35.357 N042.47.29.971 W106.01.29.378 RVM
                          N042.47.29.971 W106.01.29.378 N042.47.25.743 W106.01.21.760 RVM
                          N042.47.25.743 W106.01.21.760 N042.47.23.021 W106.01.12.966 RVM
                          N042.54.43.014 W106.13.00.449 N042.54.39.555 W106.13.01.172 RVM
                          N042.54.39.555 W106.13.01.172 N042.54.36.406 W106.13.03.251 RVM
                          N042.54.36.406 W106.13.03.251 N042.54.33.847 W106.13.06.499 RVM
                          N042.54.33.847 W106.13.06.499 N042.54.32.105 W106.13.10.629 RVM
                          N042.54.32.105 W106.13.10.629 N042.54.31.336 W106.13.15.274 RVM
                          N042.54.31.336 W106.13.15.274 N042.54.31.607 W106.13.20.022 RVM
                          N042.54.31.607 W106.13.20.022 N042.54.32.895 W106.13.24.449 RVM
                          N042.54.32.895 W106.13.24.449 N042.54.35.084 W106.13.28.164 RVM
                          N042.54.35.084 W106.13.28.164 N042.54.37.982 W106.13.30.836 RVM
                          N042.54.37.982 W106.13.30.836 N042.54.41.329 W106.13.32.227 RVM
                          N042.54.41.329 W106.13.32.227 N042.54.44.829 W106.13.32.214 RVM
                          N042.54.44.829 W106.13.32.214 N042.54.48.171 W106.13.30.798 RVM
                          N042.54.48.171 W106.13.30.798 N042.54.51.058 W106.13.28.105 RVM
                          N042.54.51.058 W106.13.28.105 N042.54.53.233 W106.13.24.373 RVM
                          N042.54.53.233 W106.13.24.373 N042.54.54.502 W106.13.19.936 RVM
                          N042.54.54.502 W106.13.19.936 N042.54.54.754 W106.13.15.186 RVM
                          N042.54.54.754 W106.13.15.186 N042.54.53.966 W106.13.10.546 RVM
                          N042.54.53.966 W106.13.10.546 N042.54.52.207 W106.13.06.429 RVM
                          N042.54.52.207 W106.13.06.429 N042.54.49.635 W106.13.03.200 RVM
                          N042.54.49.635 W106.13.03.200 N042.54.46.477 W106.13.01.146 RVM
                          N042.54.46.477 W106.13.01.146 N042.54.43.014 W106.13.00.449 RVM
                          N042.54.43.014 W106.13.00.449 N042.54.43.014 W106.13.00.449 RVM
                          N042.54.36.853 W106.12.40.386 N042.54.37.301 W106.12.49.924 RVM
                          N042.54.37.301 W106.12.49.924 N042.54.36.016 W106.12.59.320 RVM
                          N042.54.36.016 W106.12.59.320 N042.54.33.076 W106.13.08.000 RVM
                          N042.54.33.076 W106.13.08.000 N042.54.28.661 W106.13.15.434 RVM
                          N042.54.28.661 W106.13.15.434 N042.54.23.040 W106.13.21.167 RVM
                          N042.54.23.040 W106.13.21.167 N042.54.16.557 W106.13.24.849 RVM
                          N042.54.16.557 W106.13.24.849 N042.54.16.557 W106.13.24.849 RVM
                          N042.54.16.557 W106.13.24.849 N042.54.23.568 W106.13.24.240 RVM
                          N042.54.23.568 W106.13.24.240 N042.54.30.474 W106.13.25.989 RVM
                          N042.54.30.474 W106.13.25.989 N042.54.36.855 W106.13.29.989 RVM
                          N042.54.36.855 W106.13.29.989 N042.54.42.319 W106.13.35.997 RVM
                          N042.54.42.319 W106.13.35.997 N042.54.46.533 W106.13.43.644 RVM
                          N042.54.46.533 W106.13.43.644 N042.54.49.239 W106.13.52.464 RVM
                          N042.55.09.538 W106.13.07.997 N042.55.03.055 W106.13.11.681 RVM
                          N042.55.03.055 W106.13.11.681 N042.54.57.434 W106.13.17.415 RVM
                          N042.54.57.434 W106.13.17.415 N042.54.53.019 W106.13.24.849 RVM
                          N042.54.53.019 W106.13.24.849 N042.54.50.078 W106.13.33.529 RVM
                          N042.54.50.078 W106.13.33.529 N042.54.48.792 W106.13.42.926 RVM
                          N042.54.48.792 W106.13.42.926 N042.54.49.239 W106.13.52.464 RVM
                          N042.55.09.538 W106.13.07.997 N042.55.02.527 W106.13.08.607 RVM
                          N042.55.02.527 W106.13.08.607 N042.54.55.620 W106.13.06.858 RVM
                          N042.54.55.620 W106.13.06.858 N042.54.49.240 W106.13.02.858 RVM
                          N042.54.49.240 W106.13.02.858 N042.54.43.775 W106.12.56.851 RVM
                          N042.54.43.775 W106.12.56.851 N042.54.39.560 W106.12.49.205 RVM
                          N042.54.39.560 W106.12.49.205 N042.54.36.853 W106.12.40.386 RVM
                          N042.54.38.061 W106.19.48.656 N042.54.34.601 W106.19.49.372 RVM
                          N042.54.34.601 W106.19.49.372 N042.54.31.449 W106.19.51.445 RVM
                          N042.54.31.449 W106.19.51.445 N042.54.28.887 W106.19.54.688 RVM
                          N042.54.28.887 W106.19.54.688 N042.54.27.141 W106.19.58.815 RVM
